Date,Close/Last,Volume,Open,High,Low
11/23/2022,22.73,178783500,22.05,22.87,22.01
11/22/2022,22.07,146238600,21.33,22.10,20.83
11/21/2022,21.18,144111300,21.52,21.80,20.97
11/18/2022,21.84,194788500,22.56,22.58,21.28
11/17/2022,21.86,213462200,20.95,22.2097,20.91
11/16/2022,22.03,191679400,22.50,22.58,21.82
11/15/2022,22.96,318265700,23.645,23.95,22.18
11/14/2022,22.07,214225900,22.17,22.96,21.82
11/11/2022,22.67,307134200,21.43,22.83,21.12
11/10/2022,21.45,328442400,20.15,21.54,19.70
11/09/2022,17.60,215569100,18.53,18.70,17.53
11/08/2022,18.92,296056300,18.85,19.62,18.09
11/07/2022,18.52,200943400,18.16,18.64,17.71
11/04/2022,17.95,382370200,18.13,18.35,16.85
11/03/2022,17.15,212231800,17.645,17.95,17.04
11/02/2022,18.20,331476300,20.28,20.98,18.181
11/01/2022,20.30,215232400,21.74,21.8699,20.21
10/31/2022,20.95,209561100,21.175,21.365,20.49
10/28/2022,21.70,255388600,19.75,21.81,19.71
10/27/2022,19.90,256629400,20.79,21.12,19.77
10/26/2022,21.06,282519800,21.18,22.50,20.93
10/25/2022,22.55,238399800,21.475,22.64,21.47
10/24/2022,21.27,274622000,20.63,21.47,19.80
10/21/2022,20.57,313729000,18.98,20.69,18.725
10/20/2022,19.21,264851500,19.33,20.4667,18.96
10/19/2022,19.54,259851100,19.41,20.24,19.01
10/18/2022,19.78,346276900,20.865,21.00,19.17
10/17/2022,19.30,230025400,18.805,19.50,18.80
10/14/2022,17.57,335066300,19.85,19.98,17.46
10/13/2022,19.31,414753600,16.515,19.62,16.32
10/12/2022,18.10,200741900,18.23,18.64,17.93
10/11/2022,18.14,264873500,18.52,19.14,17.74
10/10/2022,18.89,206499800,19.515,19.61,18.30
10/07/2022,19.50,250972600,20.88,20.91,19.16
10/06/2022,22.01,237543600,22.30,23.06,21.92
10/05/2022,22.58,229199500,21.665,23.00,21.01
10/04/2022,22.58,231661800,21.895,22.765,21.89
10/03/2022,20.66,223611300,19.705,21.01,19.36
09/30/2022,19.32,256598800,20.155,21.09,19.28
09/29/2022,20.39,270097800,21.305,21.39,19.62
09/28/2022,22.27,256019500,21.03,22.59,20.68
09/27/2022,21.04,271960600,21.815,22.35,20.50
09/26/2022,21.02,245303900,21.16,22.21,20.83
